id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
56556,"March 9, 2012 2:56:20 PM PST",2012-03-09,2012-03-09 16:56:20 -0600,Pacific Time (US & Canada),849,mmhalbur,2012-03-09 17:59:12 -0600,2017-07-13 23:05:50 -0500,research,,http://www.inaturalist.org/observations/56556,https://static.inaturalist.org/photos/89493/medium.JPG,,"",One of my favorite old oak trees on the preserve. Used by acorn woodpeckers and gray squirrels for storing food and shelter.,1,0,false,,"Santa Rosa, Sonoma, California, United States of America, North America",38.6045429686,-122.7396173477,,,,,false,,"",valley oak,Quercus lobata,valley oak,Plantae,49011
65337,2009-04-30,2009-04-30,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-04-13 22:15:08 -0500,2017-07-13 23:06:02 -0500,research,CC-BY,http://www.inaturalist.org/observations/65337,https://inaturalist-open-data.s3.amazonaws.com/photos/99756/medium.JPG,,"flower, pink, yellow","Big Oak Flat Road, from that first pullout where you can see down the valley.  ",1,0,false,,"Yosemite National Park, California, USA",37.746032,-119.814268,8196,8196,,,false,,,harlequin lupine,Lupinus stiversii,Harlequin Lupine,Plantae,77892
78174,Sun May 13 2012 09:47:42 GMT-0700 (PDT),2012-05-13,2012-05-13 11:47:42 -0500,Pacific Time (US & Canada),6590,rlolliff,2012-05-13 11:49:40 -0500,2017-07-13 23:06:17 -0500,research,CC-BY,http://www.inaturalist.org/observations/78174,https://static.inaturalist.org/photos/115706/medium.jpg,,"","",1,0,false,,"9079–9083 Old Davis Rd, Dixon, California, US",38.517982,-121.757253,5,5,,,false,,,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
78901,"May 13, 2012 12:47:48 PM PDT",2012-05-13,2012-05-13 14:47:48 -0500,Pacific Time (US & Canada),5362,anaris328,2012-05-14 08:23:38 -0500,2017-10-28 21:20:29 -0500,research,CC-BY,http://www.inaturalist.org/observations/78901,https://static.inaturalist.org/photos/117217/medium.jpg,,"",trail15,1,0,false,2,Jasper Ridge Biological Preserve,37.40524,-122.2421,1723,1723,,,false,,"",Valley Oak,Quercus lobata,valley oak,Plantae,49011
81968,2009-03-31,2009-03-31,,Central Time (US & Canada),6768,boomersoonerintexas,2012-05-22 12:03:24 -0500,2014-10-19 12:51:10 -0500,research,CC-BY,http://www.inaturalist.org/observations/81968,https://static.inaturalist.org/photos/120478/medium.jpg,,Flowering Dogwood,Frequent in deep sandy soils as an understory tree.,1,0,false,,"Big Creek valley - Oak, Ash, Hickory forest near Bokchito, OK",34.007108862,-96.1215626199,,,,,false,,,flowering dogwood,Cornus florida,flowering dogwood,Plantae,54777
93228,2012-06-18,2012-06-18,,Pacific Time (US & Canada),549,bob-dodge,2012-06-19 15:39:25 -0500,2017-07-13 23:06:36 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/93228,https://inaturalist-open-data.s3.amazonaws.com/photos/135705/medium.JPG,,"",A fair number of young Valley oaks observed on this walk. Most looked healthy with lots of new growth ,1,0,false,,"Arastradero Preserve, Palo Alto, CA",37.3780836,-122.1831192,1842,1842,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
94373,2012-06-21,2012-06-21,,Pacific Time (US & Canada),3090,zabbey,2012-06-21 19:52:28 -0500,2021-01-12 13:16:20 -0600,research,CC-BY,http://www.inaturalist.org/observations/94373,https://inaturalist-open-data.s3.amazonaws.com/photos/137359/medium.JPG,,"","",1,0,false,,Simi Valley,34.3212337615,-118.6383748055,,,,,false,,,valley oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
101996,"July 15, 2012 6:48:29 PM MST",2012-07-15,2012-07-15 19:48:29 -0500,Mountain Time (US & Canada),636,joaaelst,2012-07-15 23:26:50 -0500,2017-07-13 23:06:45 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/101996,https://static.inaturalist.org/photos/147576/medium.jpg,,"","",3,0,false,2,,37.50511192,-121.81925477,3,3,,,false,gps,gps,valley oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
106196,Thu Jul 26 2012 12:05:09 GMT-0700 (PDT),2012-07-26,2012-07-26 14:05:09 -0500,Pacific Time (US & Canada),933,chriswbrown,2012-07-26 22:30:34 -0500,2015-01-19 19:27:44 -0600,research,CC-BY-NC,http://www.inaturalist.org/observations/106196,https://inaturalist-open-data.s3.amazonaws.com/photos/152724/medium.jpg,,"","",2,0,false,,"2600 Kadema Dr, Sacramento, California, US",38.5629,-121.401084,5,5,,,false,,,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
112375,"August 13, 2012 9:27:27 AM PDT",2012-08-13,2012-08-13 11:27:27 -0500,Pacific Time (US & Canada),636,joaaelst,2012-08-13 11:35:12 -0500,2017-07-13 23:06:52 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/112375,https://static.inaturalist.org/photos/160223/medium.jpg,,"","",2,0,false,2,,38.54349452,-121.73748339,3,3,,,false,gps,gps,quercus lobata,Quercus lobata,valley oak,Plantae,49011
116300,Fri Aug 24 2012 17:05:10 GMT-0700 (PDT),2012-08-24,2012-08-24 19:05:10 -0500,Pacific Time (US & Canada),4850,garyg,2012-08-25 10:31:58 -0500,2017-07-13 23:06:54 -0500,research,CC-BY,http://www.inaturalist.org/observations/116300,https://inaturalist-open-data.s3.amazonaws.com/photos/175074/medium.jpg,,"",Single tree in open flat close to the cemetery at Bridgeport.,2,0,false,,"18106–18112 Pleasant Valley Rd, Penn Valley, California, US",39.29066,-121.197552,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
121302,2012-09-05,2012-09-05,,Hawaii,9384,mceowen,2012-09-10 19:27:20 -0500,2017-07-13 23:06:58 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/121302,https://inaturalist-open-data.s3.amazonaws.com/photos/173109/medium.JPG,,"","",1,0,false,,"27 larkspur street San Rafael, CA 949401",37.962685,-122.5023695,191,191,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
121913,2012-09-12,2012-09-12,,Pacific Time (US & Canada),8778,gyrrlfalcon,2012-09-12 16:14:14 -0500,2017-07-13 23:07:00 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/121913,https://inaturalist-open-data.s3.amazonaws.com/photos/173979/medium.JPG,,"","While I feel relatively secure in this ID, I'd love to hear why and how it is different from Black Oak",2,0,false,,"Edgewood Park, Redwood City",37.4573297445,-122.2874516868,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
123266,"September 15, 2012 6:26:19 PM PDT",2012-09-15,2012-09-15 20:26:19 -0500,Pacific Time (US & Canada),8775,disturbeco,2012-09-15 21:51:11 -0500,2017-07-13 23:07:02 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/123266,https://inaturalist-open-data.s3.amazonaws.com/photos/176423/medium.jpg,,"","",2,0,false,2,,38.52686445,-121.80250292,10,10,,,false,gps,gps,Valley Oak,Quercus lobata,valley oak,Plantae,49011
124994,"September 16, 2012 17:20",2012-09-16,2012-09-16 19:20:00 -0500,Pacific Time (US & Canada),5692,justin2,2012-09-19 08:43:16 -0500,2017-07-13 23:07:04 -0500,research,CC-BY,http://www.inaturalist.org/observations/124994,https://inaturalist-open-data.s3.amazonaws.com/photos/177131/medium.JPG?1444790840,,"","Walnut tree on American River banks.

Valley oak woodland wildlife habitat.",1,0,false,,American River,38.5915,-121.454167,,10000,,open,false,,,Northern California black walnut (Juglans hindsii),Juglans hindsii,northern California black walnut,Plantae,54502
126555,2012-09-20,2012-09-20,,Pacific Time (US & Canada),549,bob-dodge,2012-09-24 11:32:02 -0500,2017-07-13 23:07:06 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/126555,https://inaturalist-open-data.s3.amazonaws.com/photos/179073/medium.jpg,,"",large oak near the entrance of the Preserve. Photo 2 of leaves and photo 3 of acorns.,2,0,false,,"jasper ridge biological Preserve, Stanford Ca",37.4032996748,-122.2436556812,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
131679,Sun Oct 07 2012 14:59:23 GMT-0700 (PDT),2012-10-07,2012-10-07 16:59:23 -0500,Pacific Time (US & Canada),1,kueda,2012-10-07 23:22:24 -0500,2014-10-19 15:04:54 -0500,research,CC0,http://www.inaturalist.org/observations/131679,https://inaturalist-open-data.s3.amazonaws.com/photos/184976/medium.jpg?1349670215,,"","",2,0,false,,"Mitchell Canyon Creek, Clayton, California, US",37.919842,-121.941988,47,47,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
132406,2007-04-07 09:28:02,2007-04-07,2007-04-07 11:28:02 -0500,Pacific Time (US & Canada),9324,lynnwatson,2012-10-08 13:22:39 -0500,2019-05-04 01:28:52 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/132406,https://static.inaturalist.org/photos/185304/medium.jpg?1444588592,,"foothill woodland, bare, green, Feb-Mar",Figueroa Mountain Road,1,0,false,,"Figueroa Mountain, Santa Barbara County, CA",34.7312991771,-120.0925357667,70,70,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
132424,2007-04-07 09:26:23,2007-04-07,2007-04-07 11:26:23 -0500,Pacific Time (US & Canada),9324,lynnwatson,2012-10-08 13:36:13 -0500,2019-05-04 01:28:49 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/132424,https://static.inaturalist.org/photos/185310/medium.jpg?1444588600,,"foothill woodland, bare, green, Feb-Mar",Figueroa Mountain Road,2,0,false,,"Figueroa Mountain, Santa Barbara County, CA",34.7312870533,-120.0926108686,70,70,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
136205,Sun Oct 14 2012 17:30:06 GMT-0700 (PDT),2012-10-14,2012-10-14 19:30:06 -0500,Pacific Time (US & Canada),1,kueda,2012-10-16 15:57:05 -0500,2014-10-19 15:15:49 -0500,research,CC0,http://www.inaturalist.org/observations/136205,https://inaturalist-open-data.s3.amazonaws.com/photos/189492/medium.jpg?1350421219,,"","",1,0,false,,"17900–17998 Bollinger Canyon Rd, San Ramon, California, US",37.819712,-122.041363,9,9,,,false,,,Valley oak?,Quercus lobata,valley oak,Plantae,49011
141792,2012-10-31,2012-10-31,,Pacific Time (US & Canada),3090,zabbey,2012-10-31 18:10:21 -0500,2021-01-12 14:12:00 -0600,research,CC-BY,http://www.inaturalist.org/observations/141792,https://inaturalist-open-data.s3.amazonaws.com/photos/196374/medium.JPG?1351725035,,"","",2,0,false,,Conejo Mountain Creek,34.1698030225,-118.9670808613,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
147229,"November 10, 2012 16:15",2012-11-10,2012-11-10 18:15:00 -0600,Pacific Time (US & Canada),5692,justin2,2012-11-12 14:52:27 -0600,2017-07-13 23:07:25 -0500,research,CC-BY,http://www.inaturalist.org/observations/147229,https://inaturalist-open-data.s3.amazonaws.com/photos/203054/medium.JPG?1444793733,,"",Valley Oak ,1,0,false,,"American River, Sacramento",38.595909,-121.452568,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
162496,2012-09-28,2012-09-28,,Pacific Time (US & Canada),2873,jmaughn,2012-12-15 13:15:43 -0600,2017-10-23 20:38:17 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/162496,https://static.inaturalist.org/photos/219201/medium.jpg?1444469367,,"","",1,0,false,,Santa Clara Co. CA,37.3754529359,-121.7216523461,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
171827,"December 16, 2012 12:53:26 PM PST",2012-12-16,2012-12-16 14:53:26 -0600,Pacific Time (US & Canada),636,joaaelst,2013-01-02 19:04:23 -0600,2017-07-13 23:07:54 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/171827,https://static.inaturalist.org/photos/227855/medium.jpg?1357175335,,"","",1,0,false,2,,38.51803035,-121.77107196,3,3,,,false,gps,gps,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
195140,Sat Feb 09 2013 11:12:17 GMT-0800 (PST),2013-02-09,2013-02-09 13:12:17 -0600,Pacific Time (US & Canada),12808,beatrizarostegui,2013-02-09 16:08:24 -0600,2017-07-13 23:08:13 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/195140,https://inaturalist-open-data.s3.amazonaws.com/photos/249110/medium.jpg?1360447875,,"","",2,0,false,,"1947–2099 Spring St, St Helena, California, US",38.4975,-122.4731666667,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
208217,2013-03-02,2013-03-02,,Pacific Time (US & Canada),12877,cellardoor,2013-03-02 23:24:49 -0600,2017-07-13 23:08:29 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/208217,https://inaturalist-open-data.s3.amazonaws.com/photos/264064/medium.jpg?1362288355,,"",First one I've seen with leaves this year. ,2,0,false,,Las Trampas Regional Park,37.8353503406,-122.0424884206,,,,,false,,"",Valley Oak,Quercus lobata,valley oak,Plantae,49011
215016,2013-03-11  1550,2013-03-11,2013-03-11 17:50:00 -0500,Pacific Time (US & Canada),910,icosahedron,2013-03-12 10:26:24 -0500,2017-07-13 23:08:40 -0500,research,CC-BY,http://www.inaturalist.org/observations/215016,https://inaturalist-open-data.s3.amazonaws.com/photos/270989/medium.JPG,,"","I understand these were at first confused with English Oaks; of which: ""Heart of Oak are our ships, Heart of Oak are our men""...

Sadly, these are really not appropriate for shipbuilding, with poor quality wood that let them be AKA 'mush oaks'.  So are our california males  then 'heart of mush oak'?",1,0,false,,Santa Rosa Creek,38.4451142274,-122.8083407879,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
217549,Sat Mar 16 2013 13:48:54 GMT-0700 (PDT),2013-03-16,2013-03-16 15:48:54 -0500,Pacific Time (US & Canada),554,sterling,2013-03-17 01:53:11 -0500,2017-07-13 23:08:45 -0500,research,CC-BY,http://www.inaturalist.org/observations/217549,https://inaturalist-open-data.s3.amazonaws.com/photos/274267/medium.jpg?1363503370,,"","",1,0,false,,"Giori Park, Healdsburg, California, US",38.6156666667,-122.8611666667,,,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
220446,2013-03-20,2013-03-20,,Pacific Time (US & Canada),554,sterling,2013-03-21 10:37:53 -0500,2019-12-07 01:06:17 -0600,research,CC-BY,http://www.inaturalist.org/observations/220446,https://inaturalist-open-data.s3.amazonaws.com/photos/277747/medium.jpg?1363880298,,"",Everywhere in the area. Just rained. This patch is growing on a valley oak.,2,0,false,,healdsburg ca,38.6397604364,-122.8587217425,,,,,false,,,Dendroalsia abietina,Dendroalsia abietina,dendroalsia moss,Plantae,55340
222351,Sun Mar 24 2013 12:37:52 GMT-0700 (PDT),2013-03-24,2013-03-24 14:37:52 -0500,Pacific Time (US & Canada),1,kueda,2013-03-24 18:11:58 -0500,2017-11-05 21:56:28 -0600,research,CC0,http://www.inaturalist.org/observations/222351,https://inaturalist-open-data.s3.amazonaws.com/photos/280077/medium.jpg?1364166802,,"","",1,0,false,,"Mount Diablo State Park, Clayton, California, US",37.917366,-121.94517,47,47,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
227761,2013-03-29 17:08:11,2013-03-29,2013-03-29 19:08:11 -0500,Pacific Time (US & Canada),2692,kestrel,2013-04-02 14:13:00 -0500,2017-07-13 23:09:08 -0500,research,CC0,http://www.inaturalist.org/observations/227761,https://inaturalist-open-data.s3.amazonaws.com/photos/286675/medium.jpg?1364930045,,"","",1,0,false,,"San Luis Obispo, California, United States",35.4926805278,-120.4323055278,,,,,false,,,Valley Oak (Quercus lobata),Quercus lobata,valley oak,Plantae,49011
229843,2013-04-04,2013-04-04,,Pacific Time (US & Canada),2991,sea-kangaroo,2013-04-05 18:14:40 -0500,2018-02-04 08:49:38 -0600,research,CC-BY,http://www.inaturalist.org/observations/229843,https://inaturalist-open-data.s3.amazonaws.com/photos/289253/medium.JPG?1365203721,,"","",2,0,false,,"Cuesta Park Annex, Mountain View, California, USA",37.3728378418,-122.0845062082,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
237826,2013-04-12,2013-04-12,,Pacific Time (US & Canada),8755,belinda,2013-04-16 01:01:41 -0500,2017-07-13 23:09:35 -0500,research,CC-BY,http://www.inaturalist.org/observations/237826,https://inaturalist-open-data.s3.amazonaws.com/photos/298112/medium.JPG?1444800342,,"","",1,0,false,,"Sunol Regional Wilderness, CA",37.5188146628,-121.8345165253,209,209,,,false,,manual,Quercus lobata,Quercus lobata,valley oak,Plantae,49011
239107,2013-04-17,2013-04-17,,Pacific Time (US & Canada),3090,zabbey,2013-04-17 19:00:48 -0500,2021-01-12 13:27:58 -0600,research,CC-BY,http://www.inaturalist.org/observations/239107,https://inaturalist-open-data.s3.amazonaws.com/photos/299670/medium.JPG?1366243267,,"","",3,0,false,,"Palo Comado Canyon, Oak Park, CA",34.1843643265,-118.7445366383,,,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
246260,2013-04-22 14:12:07,2013-04-22,2013-04-22 16:12:07 -0500,Pacific Time (US & Canada),9324,lynnwatson,2013-04-26 20:07:55 -0500,2019-05-04 01:26:09 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/246260,https://static.inaturalist.org/photos/307667/medium.jpg?1444577408,,"","",2,0,false,,"Sunset Valley Road, Santa Barbara County, CA",34.763941,-119.949642,80,80,,,false,,,valley oak,Quercus lobata,valley oak,Plantae,49011
246561,Sat Apr 27 2013 10:37:36 GMT-0700 (PDT),2013-04-27,2013-04-27 12:37:36 -0500,Pacific Time (US & Canada),6590,rlolliff,2013-04-27 12:38:49 -0500,2017-07-13 23:09:56 -0500,research,CC-BY,http://www.inaturalist.org/observations/246561,https://static.inaturalist.org/photos/307976/medium.jpg?1367084359,,"","",1,0,false,,"2650–2898 Levee Rd, Davis, California, US",38.525061,-121.790183,5,5,,,false,,,Valley Oak,Quercus lobata,valley oak,Plantae,49011
