id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,longitude,latitude
1077771,11/16/14,11/16/14,NA,Pacific Time (US & Canada),38280,dominic,11/16/14 18:41,7/13/17 23:22,research,CC-BY,http://www.inaturalist.org/observations/1077771,https://inaturalist-open-data.s3.amazonaws.com/photos/1351064/medium.jpg?1416184904,NA,NA,This one looked cool.,1,0,FALSE,NA,"Cosumnes River Preserve, Sacramento County, California",190,190,NA,NA,FALSE,NA,NA,Valley oak,Quercus lobata,valley oak,Plantae,49011,-121.439292,38.265702
1090320,Sun Nov 23 2014 14:04:05 GMT-0800 (PST),11/23/14,11/23/14 16:04,Pacific Time (US & Canada),13979,robberfly,11/23/14 17:35,7/13/17 23:22,research,CC-BY-NC,http://www.inaturalist.org/observations/1090320,https://inaturalist-open-data.s3.amazonaws.com/photos/1370352/medium.jpg?1416785777,NA,NA,The colors this time of year enthrall me...,2,0,FALSE,3,"Cosumnes River Preserve, Galt, CA, US",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.438155,38.26618833
1150568,12/28/14,12/28/14,NA,Pacific Time (US & Canada),38280,dominic,12/29/14 10:32,7/13/17 23:23,research,CC-BY,http://www.inaturalist.org/observations/1150568,https://inaturalist-open-data.s3.amazonaws.com/photos/1449693/medium.JPG?1419870849,NA,NA,Grew around the whole preserve.,1,0,FALSE,NA,"Cosumnes River Preserve, Sacramento County, California",190,190,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.439292,38.265702
1508322,5/17/15 15:15,5/17/15,5/17/15 17:15,Pacific Time (US & Canada),38530,kevinhintsa,5/18/15 15:57,7/13/17 23:30,research,CC-BY-NC,http://www.inaturalist.org/observations/1508322,https://inaturalist-open-data.s3.amazonaws.com/photos/1868625/medium.JPG?1431982645,NA,mid May 2015,NA,1,0,FALSE,NA,"Consumnes Preserve , CA",190,190,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.439292,38.265702
1776036,7/16/15 14:39,7/16/15,7/16/15 19:39,Hawaii,112529,tedbarone,7/18/15 11:00,7/13/17 23:33,research,NA,http://www.inaturalist.org/observations/1776036,https://static.inaturalist.org/photos/2149380/medium.jpg?1437235250,NA,"California Native, Riparian, Sacramento County",Consumnes River Preserve,1,0,FALSE,NA,"Beacon Farms, Sacramento, California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.4222417,38.25533056
1877413,Thu Aug 20 2015 09:54:46 GMT-0700 (PDT),8/20/15,8/20/15 11:54,Pacific Time (US & Canada),28037,metsa,8/20/15 17:38,7/13/17 23:34,research,CC-BY-NC,http://www.inaturalist.org/observations/1877413,https://inaturalist-open-data.s3.amazonaws.com/photos/2287662/medium.JPG?1440113653,NA,NA,"Valley oaks - yes, per the visitor center",1,0,FALSE,3,Cosumnes River Preserve,39,39,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.438292,38.266347
3172502,2016-05-14 10:18:43 AM PDT,5/14/16,5/14/16 12:18,Pacific Time (US & Canada),3057,vermfly,5/14/16 12:19,7/13/17 23:49,research,CC-BY-NC,http://www.inaturalist.org/observations/3172502,https://inaturalist-open-data.s3.amazonaws.com/photos/3669029/medium.jpeg?1463246373,NA,NA,Koobs Nature Area,1,0,FALSE,2,"5400 Gibbons Dr Carmichael, CA 95608",8,8,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3388834,38.63446837
3309374,4/26/16,4/26/16,NA,Pacific Time (US & Canada),211333,heidih53,5/26/16 16:08,5/26/16 17:21,research,CC-BY-NC,http://www.inaturalist.org/observations/3309374,https://inaturalist-open-data.s3.amazonaws.com/photos/3824720/medium.JPG?1464296930,NA,NA,NA,1,0,FALSE,NA,effie yeaw nature center,70,70,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.311752,38.617251
3596905,2016/07/01 8:11 AM PDT,7/1/16,7/1/16 10:11,Pacific Time (US & Canada),2991,sea-kangaroo,7/2/16 16:09,7/13/17 23:55,research,CC-BY,http://www.inaturalist.org/observations/3596905,https://inaturalist-open-data.s3.amazonaws.com/photos/4163346/medium.JPG?1467493531,NA,valley oak,NA,1,0,FALSE,NA,"Cosumnes River Preserve, Galt, California, USA",133,133,NA,NA,FALSE,NA,manual,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.442538,38.269732
3597670,2016/07/01 9:04 AM PDT,7/1/16,7/1/16 11:04,Pacific Time (US & Canada),2991,sea-kangaroo,7/2/16 18:29,7/13/17 23:55,research,CC-BY,http://www.inaturalist.org/observations/3597670,https://inaturalist-open-data.s3.amazonaws.com/photos/4164648/medium.JPG?1467502076,NA,web,NA,1,0,FALSE,NA,"Cosumnes River Preserve, Galt, California, USA",105,105,NA,NA,FALSE,NA,manual,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.438236,38.269353
3597671,2016/07/01 9:11 AM PDT,7/1/16,7/1/16 11:11,Pacific Time (US & Canada),2991,sea-kangaroo,7/2/16 18:29,7/13/17 23:55,research,CC-BY,http://www.inaturalist.org/observations/3597671,https://inaturalist-open-data.s3.amazonaws.com/photos/4164650/medium.JPG?1467502083,NA,"seed, green",I should actually look up oak species instead of just calling all the ones with normal leaves Valley Oaks.,1,0,FALSE,NA,"Cosumnes River Preserve, Galt, California, USA",105,105,NA,NA,FALSE,NA,manual,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.438236,38.269353
3813566,2016-08-06 9:51:49 AM PDT,8/6/16,8/6/16 11:51,Pacific Time (US & Canada),104877,feather,8/6/16 11:52,7/13/17 23:57,research,CC-BY-NC,http://www.inaturalist.org/observations/3813566,https://static.inaturalist.org/photos/4457629/medium.jpeg?1470502384,NA,NA,NA,2,0,FALSE,2,"Palisades Park, Sacramento County, US-CA, US",4,4,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.1950379,38.6754359
4437028,2016-10-25 5:55:41 PM PDT,10/25/16,10/25/16 19:55,Pacific Time (US & Canada),292751,thenaturalistnextdoor,10/25/16 19:57,7/14/17 0:01,research,CC-BY-NC,http://www.inaturalist.org/observations/4437028,https://inaturalist-open-data.s3.amazonaws.com/photos/5340567/medium.jpeg?1477443478,NA,NA,NA,1,0,FALSE,2,"American River Parkway, Sacramento County, US-CA, US",7,7,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3110565,38.61705519
4594658,Fri Nov 18 2016 09:18:28 GMT-0800 (PST),11/18/16,11/18/16 11:18,Pacific Time (US & Canada),370797,miguelbugs,11/18/16 11:19,10/10/17 23:08,research,NA,http://www.inaturalist.org/observations/4594658,https://static.inaturalist.org/photos/5552762/medium.jpg?1479489575,NA,NA,NA,2,0,FALSE,3,"Hansen Ranch Park, Sacramento, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.4563903,38.66926416
4594735,Fri Nov 18 2016 09:32:44 GMT-0800 (PST),11/18/16,11/18/16 11:32,Pacific Time (US & Canada),370797,miguelbugs,11/18/16 11:33,10/11/17 13:08,research,NA,http://www.inaturalist.org/observations/4594735,https://static.inaturalist.org/photos/5552837/medium.jpg?1479490402,NA,NA,NA,2,0,FALSE,3,"Hansen Ranch Park, Sacramento, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.4565018,38.66910072
4894541,12/30/16 9:13,12/30/16,12/30/16 11:13,Pacific Time (US & Canada),5692,justin2,1/4/17 14:14,7/14/17 0:04,research,CC-BY,https://www.inaturalist.org/observations/4894541,https://inaturalist-open-data.s3.amazonaws.com/photos/5953556/medium.jpg?1483560874,NA,NA,NA,1,0,FALSE,NA,"California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.438334,38.261944
4909865,1/7/17 11:23,1/7/17,1/7/17 13:23,Pacific Time (US & Canada),5692,justin2,1/7/17 18:42,7/14/17 0:04,research,CC-BY,https://www.inaturalist.org/observations/4909865,https://inaturalist-open-data.s3.amazonaws.com/photos/5976736/medium.jpg?1483836129,NA,NA,NA,1,0,FALSE,NA,"California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.272778,38.627777
5150469,2017-02-21 2:49:29 PM PST,2/21/17,2/21/17 16:49,Pacific Time (US & Canada),409873,dallashollis,2/21/17 16:51,7/14/17 0:08,research,NA,https://www.inaturalist.org/observations/5150469,https://static.inaturalist.org/photos/6343951/medium.jpeg?1487717494,NA,NA,Group alpha orange tape,1,0,FALSE,2,"Jedediah Smith Memorial Trail Sacramento, CA 95825",6,6,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.420127,38.56381571
5472967,3/26/17 18:06,3/26/17,3/26/17 20:06,Pacific Time (US & Canada),5692,justin2,3/26/17 22:31,11/5/17 22:00,research,CC-BY,https://www.inaturalist.org/observations/5472967,https://inaturalist-open-data.s3.amazonaws.com/photos/6741154/medium.jpg?1490585512,NA,20170326_180613,NA,1,0,FALSE,NA,"Fair Oaks, California, United States",NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.215278,38.646666
5513092,Thu Mar 30 2017 13:05:44 GMT-0700 (PDT),3/30/17,3/30/17 15:05,Pacific Time (US & Canada),289895,laurel10,3/30/17 19:38,11/5/17 21:43,research,NA,https://www.inaturalist.org/observations/5513092,https://static.inaturalist.org/photos/6798492/medium.jpg?1490920713,NA,NA,NA,1,0,FALSE,3,"Cosumnes River Preserve, Galt, CA, US",44,44,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.4391893,38.2656031
5528440,2017-04-01 10:07:22 AM PDT,4/1/17,4/1/17 12:07,Pacific Time (US & Canada),292751,thenaturalistnextdoor,4/1/17 12:11,7/14/17 0:14,research,CC-BY-NC,https://www.inaturalist.org/observations/5528440,https://inaturalist-open-data.s3.amazonaws.com/photos/6821345/medium.jpeg?1491066707,NA,NA,A bevy of goldfinches are eating the catkins.,1,0,FALSE,2,"6700 Tarshes Drive Carmichael, CA 95608",10,10,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3077316,38.61158753
5577521,2017/03/11 1:59 AM PST,3/11/17,3/11/17 3:59,Pacific Time (US & Canada),441830,mariareynoso97,4/5/17 4:00,7/14/17 0:14,research,CC-BY-NC,https://www.inaturalist.org/observations/5577521,https://inaturalist-open-data.s3.amazonaws.com/photos/6887749/medium.jpg?1491382760,NA,NA,These trees were all over the place at the nature center. These trees dominate the site and also provide shelter for birds and other small animals.,1,0,FALSE,NA,"2850 San Lorenzo Way, Carmichael, CA 95608, USA",118,118,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3115716,38.6174656
6252894,2017-05-17 3:46:50 PM PDT,5/17/17,5/17/17 17:46,Pacific Time (US & Canada),463410,scott916,5/17/17 18:16,7/14/17 0:26,research,CC-BY-NC,https://www.inaturalist.org/observations/6252894,https://inaturalist-open-data.s3.amazonaws.com/photos/7861990/medium.jpeg?1495063026,NA,NA,NA,1,0,FALSE,2,"1099 Bodnar Court Folsom, CA 95630",86,86,NA,NA,FALSE,gps,gps,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.1442199,38.64736649
6302227,2017-05-21 7:33:06 AM PDT,5/21/17,5/21/17 9:33,Pacific Time (US & Canada),463410,scott916,5/21/17 9:43,9/4/17 12:35,research,CC-BY-NC,https://www.inaturalist.org/observations/6302227,https://inaturalist-open-data.s3.amazonaws.com/photos/7933882/medium.jpeg?1495377834,NA,NA,NA,1,0,FALSE,2,"Humbug Willow Creek Trail Folsom, CA 95630",6,6,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.1241348,38.67313578
6388632,2017-05-27 4:16:43 PM PDT,5/27/17,5/27/17 18:16,Pacific Time (US & Canada),463410,scott916,5/27/17 20:16,7/14/17 0:28,research,CC-BY-NC,https://www.inaturalist.org/observations/6388632,https://inaturalist-open-data.s3.amazonaws.com/photos/8065739/medium.jpeg?1495934221,NA,NA,NA,1,0,FALSE,2,"427 Blue Ravine Road Folsom, CA 95630",688,688,NA,NA,FALSE,gps,gps,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.1517689,38.66986417
6595222,6/10/17 16:04,6/10/17,6/10/17 18:04,Pacific Time (US & Canada),5692,justin2,6/11/17 16:09,7/14/17 0:31,research,CC-BY,https://www.inaturalist.org/observations/6595222,https://inaturalist-open-data.s3.amazonaws.com/photos/8372355/medium.jpg?1497215395,NA,20170610_160439,NA,1,0,FALSE,NA,Cosumnes River Preserve,NA,NA,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.441112,38.266388
6878830,Sat Jul 01 2017 15:53:27 GMT-0700 (PDT),7/1/17,7/1/17 17:53,Pacific Time (US & Canada),133657,janoutdoor,7/1/17 17:56,7/14/17 0:33,research,CC-BY-NC,https://www.inaturalist.org/observations/6878830,https://inaturalist-open-data.s3.amazonaws.com/photos/8772252/medium.jpg?1498949811,NA,NA,NA,1,0,FALSE,3,"Bannister Park, Fair Oaks, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.2870291,38.63377586
7444270,Thu Aug 10 2017 13:24:39 GMT-0700 (PDT),8/10/17,8/10/17 15:24,Pacific Time (US & Canada),537277,deeyoung,8/11/17 0:11,8/11/17 17:29,research,NA,https://www.inaturalist.org/observations/7444270,https://static.inaturalist.org/photos/9679760/medium.jpg?1502428290,NA,NA,NA,1,0,FALSE,3,"Foothill High School, Sacramento, CA, US",8,8,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3490002,38.67946125
7450704,Fri Aug 11 2017 12:37:37 GMT-0700 (PDT),8/11/17,8/11/17 14:37,Pacific Time (US & Canada),537277,deeyoung,8/11/17 14:38,10/11/17 13:17,research,NA,https://www.inaturalist.org/observations/7450704,https://static.inaturalist.org/photos/9690060/medium.jpg?1502480310,NA,NA,NA,1,0,FALSE,3,"Foothill High School, Sacramento, CA, US",4,4,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3488289,38.6794871
7450732,Fri Aug 11 2017 12:40:39 GMT-0700 (PDT),8/11/17,8/11/17 14:40,Pacific Time (US & Canada),574698,solrac,8/11/17 14:41,8/14/19 7:11,research,NA,https://www.inaturalist.org/observations/7450732,https://static.inaturalist.org/photos/9690121/medium.jpg?1502480518,NA,NA,NA,3,0,FALSE,3,"Foothill High School, Sacramento, CA, US",5,5,NA,NA,FALSE,NA,NA,valley oak,Quercus lobata,valley oak,Plantae,49011,-121.3488942,38.67946356
7451068,Fri Aug 11 2017 12:38:00 GMT-0700 (PDT),8/11/17,8/11/17 14:38,Pacific Time (US & Canada),575983,fatimas,8/11/17 15:05,1/19/18 14:33,research,NA,https://www.inaturalist.org/observations/7451068,https://static.inaturalist.org/photos/9714993/medium.jpg?1502571727,NA,NA,NA,2,0,FALSE,3,"Foothill High School, Sacramento, CA, US",5,5,NA,NA,FALSE,NA,NA,valley oak,Quercus lobata,valley oak,Plantae,49011,-121.3489777,38.67935807
7581409,2017/08/20 9:26 AM PDT,8/20/17,8/20/17 11:26,Pacific Time (US & Canada),3057,vermfly,8/20/17 22:39,8/21/17 12:06,research,CC-BY-NC,https://www.inaturalist.org/observations/7581409,https://inaturalist-open-data.s3.amazonaws.com/photos/9903159/medium.jpeg?1503286220,NA,NA,NA,2,0,FALSE,NA,"La Riviera, CA, USA",59,59,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3465154,38.57631963
7868269,2017/09/10 7:19 AM PDT,9/10/17,9/10/17 9:19,Pacific Time (US & Canada),3057,vermfly,9/10/17 17:19,10/16/17 7:46,research,CC-BY-NC,https://www.inaturalist.org/observations/7868269,https://inaturalist-open-data.s3.amazonaws.com/photos/10366471/medium.jpeg?1505079259,NA,NA,NA,1,0,FALSE,NA,"La Riviera, CA, USA",17,17,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3389543,38.578353
8003432,Tue Sep 19 2017 17:51:42 GMT-0700 (GMT-7),9/19/17,9/19/17 19:51,Arizona,619500,rmersere,9/19/17 19:55,10/18/17 4:08,research,CC-BY-NC,https://www.inaturalist.org/observations/8003432,https://inaturalist-open-data.s3.amazonaws.com/photos/10589732/medium.jpg?1505868964,NA,NA,NA,1,0,FALSE,3,"Ancil Hoffman Park, Carmichael, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3104277,38.61405005
8061619,Sat Sep 23 2017 15:12:58 GMT-0700 (PDT),9/23/17,9/23/17 17:12,Pacific Time (US & Canada),23297,mrchasse,9/23/17 17:14,9/24/17 18:38,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/8061619,https://inaturalist-open-data.s3.amazonaws.com/photos/10682863/medium.jpg?1506204932,NA,NA,NA,1,0,FALSE,3,"Cosumnes Oaks High School, Elk Grove, CA, US",24,24,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.399247,38.401049
8118459,Tue Sep 26 2017 18:16:54 GMT-0700 (PDT),9/26/17,9/26/17 20:16,Pacific Time (US & Canada),133657,janoutdoor,9/26/17 20:17,10/6/17 13:43,research,CC-BY-NC,https://www.inaturalist.org/observations/8118459,https://inaturalist-open-data.s3.amazonaws.com/photos/10763021/medium.jpg?1506475037,NA,NA,NA,1,0,FALSE,3,"Sutters Fort State Historical Monument, Sacramento, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.470754,38.57267061
8192624,2017-09-30 4:48:53 PM PDT,9/30/17,9/30/17 18:48,Pacific Time (US & Canada),638165,thomasbriannah,9/30/17 18:50,10/5/17 21:25,research,NA,https://www.inaturalist.org/observations/8192624,https://static.inaturalist.org/photos/10855686/medium.jpeg?1506818828,NA,NA,NA,1,0,FALSE,2,"American River Parkway, Sacramento County, US-CA, US",96,96,NA,NA,FALSE,gps,gps,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3156559,38.61665172
8443663,2017/10/13 3:14 PM HST,10/13/17,10/13/17 20:14,Hawaii,168642,libbing_life,10/17/17 14:31,10/18/17 13:53,research,NA,https://www.inaturalist.org/observations/8443663,https://static.inaturalist.org/photos/11248510/medium.jpeg?1508268615,NA,NA,NA,1,0,FALSE,NA,"McClellan Park, CA, USA",1809,1809,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.390048,38.6733377
8538804,2017-10-24 6:14:07 PM PDT,10/24/17,10/24/17 20:14,Pacific Time (US & Canada),616636,crescenciam64,10/24/17 20:15,10/28/17 16:34,research,CC-BY-NC,https://www.inaturalist.org/observations/8538804,https://inaturalist-open-data.s3.amazonaws.com/photos/11406235/medium.jpeg?1508894144,NA,NA,Young seedling/sapling emerging from cobbles along American River.,1,0,FALSE,2,"Jedediah Smith Memorial Trail, Rancho Cordova, CA 95670, USA",9,9,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.3061947,38.61729227
8921926,Fri Nov 24 2017 13:53:04 GMT-0800 (PST),11/24/17,11/24/17 15:53,Pacific Time (US & Canada),516942,csuez,11/24/17 15:53,11/26/17 21:23,research,NA,https://www.inaturalist.org/observations/8921926,https://static.inaturalist.org/photos/12014078/medium.jpg?1511560408,NA,NA,NA,1,0,FALSE,3,"Cosumnes River Preserve, Elk Grove, CA, US",5,5,NA,NA,FALSE,NA,NA,Valley Oak,Quercus lobata,valley oak,Plantae,49011,-121.4396815,38.27071741
